"d_code","d_name","d_name_mmr","sr_code","sr_id","d_id"
"MMR001D001","Myitkyina","မြစ်ကြီးနား","MMR001",1,1
"MMR001D002","Mohnyin","မိုးညှင်း","MMR001",1,2
"MMR001D003","Bhamo","ဗန်းမော်","MMR001",1,3
"MMR001D004","Puta-O","ပူတာအို","MMR001",1,4
"MMR002D001","Loikaw","လွိုင်ကော်","MMR002",2,5
"MMR002D002","Bawlakhe","ဘောလခဲ","MMR002",2,6
"MMR003D001","Hpa-An","ဘားအံ","MMR003",3,7
"MMR003D002","Myawaddy","မြဝတီ","MMR003",3,8
"MMR003D003","Kawkareik","ကော့ကရိတ်","MMR003",3,9
"MMR003D004","Hpapun","ဖာပွန်","MMR003",3,10
"MMR004D001","Falam","ဖလန်း","MMR004",4,11
"MMR004D002","Mindat","မင်းတပ်","MMR004",4,12
"MMR004D003","Hakha","ဟားခါး","MMR004",4,13
"MMR005D001","Sagaing","စစ်ကိုင်း","MMR005",5,14
"MMR005D002","Shwebo","ရွှေဘို","MMR005",5,15
"MMR005D003","Monywa","မုံရွာ","MMR005",5,16
"MMR005D004","Katha","ကသာ","MMR005",5,17
"MMR005D005","Kale","ကလေး","MMR005",5,18
"MMR005D006","Tamu","တမူး","MMR005",5,19
"MMR005D007","Mawlaik","မော်လိုက်","MMR005",5,20
"MMR005D008","Hkamti","ခန္တီး","MMR005",5,21
"MMR005D009","Yinmabin","ယင်းမာပင်","MMR005",5,22
"MMR006D001","Dawei","ထားဝယ်","MMR006",6,23
"MMR006D002","Myeik","မြိတ်","MMR006",6,24
"MMR006D003","Kawthoung","ကော့သောင်း","MMR006",6,25
"MMR007D001","Bago","ပဲခူး","MMR007",7,26
"MMR007D002","Taungoo","တောင်ငူ","MMR007",7,27
"MMR008D001","Pyay","ပြည်","MMR008",8,28
"MMR008D002","Thayarwady","သာယာဝတီ","MMR008",8,29
"MMR009D001","Magway","မကွေး","MMR009",9,30
"MMR009D002","Minbu","မင်းဘူး","MMR009",9,31
"MMR009D003","Thayet","သရက်","MMR009",9,32
"MMR009D004","Pakokku","ပခုက္ကူ","MMR009",9,33
"MMR009D005","Gangaw","ဂန့်ဂေါ","MMR009",9,34
"MMR010D001","Mandalay","မန္တလေး","MMR010",10,35
"MMR010D002","Pyinoolwin","ပြင်ဦးလွင်","MMR010",10,36
"MMR010D003","Kyaukse","ကျောက်ဆည်","MMR010",10,37
"MMR010D004","Myingyan","မြင်းခြံ","MMR010",10,38
"MMR010D005","Nyaung-U","ညောင်ဦး","MMR010",10,39
"MMR010D006","Yamethin","ရမည်းသင်း","MMR010",10,40
"MMR010D007","Meiktila","မိတ္ထီလာ","MMR010",10,41
"MMR011D001","Mawlamyine","မော်လမြိုင်","MMR011",11,42
"MMR011D002","Thaton","သထုံ","MMR011",11,43
"MMR012D001","Sittwe","စစ်တွေ","MMR012",12,44
"MMR012D002","Maungdaw","မောင်တော","MMR012",12,45
"MMR012D003","Kyaukpyu","ကျောက်ဖြူ","MMR012",12,46
"MMR012D004","Thandwe","သံတွဲ","MMR012",12,47
"MMR012D005","Mrauk-U","မြောက်ဦး","MMR012",12,48
"MMR013D001","Yangon (North)","ရန်ကုန် (မြောက်)","MMR013",13,49
"MMR013D002","Yangon (East)","ရန်ကုန် (အရှေ့)","MMR013",13,50
"MMR013D003","Yangon (South)","ရန်ကုန် (တောင်)","MMR013",13,51
"MMR013D004","Yangon (West)","ရန်ကုန် (အနောက်)","MMR013",13,52
"MMR014D001","Taunggyi","တောင်ကြီး","MMR014",14,53
"MMR014D002","Loilen","လွိုင်လင်","MMR014",14,54
"MMR014D003","Langkho","လင်းခေး","MMR014",14,55
"MMR015D001","Lashio","လားရှိုး","MMR015",15,56
"MMR015D002","Muse","မူဆယ်","MMR015",15,57
"MMR015D003","Kyaukme","ကျောက်မဲ","MMR015",15,58
"MMR015D004","Kunlong","ကွမ်းလုံ","MMR015",15,59
"MMR015D005","Laukkaing","လောက်ကိုင်","MMR015",15,60
"MMR015D006","Hopang","ဟိုပန်","MMR015",15,61
"MMR015D007","Matman","မက်မန်း","MMR015",15,62
"MMR015D221","Laukkaing (Kokang SAZ)","လောက်ကိုင်","MMR015",15,63
"MMR015D331","Mong Maw (Wa SAD)","မိုင်းမော်","MMR015",15,64
"MMR015D332","Wein Kawng (Wein Kao)  (Wa SAD)","၀ိုင်းကောင်","MMR015",15,65
"MMR016D001","Kengtung","ကျိုင်းတုံ","MMR016",16,66
"MMR016D002","Monghsat","မိုင်းဆတ်","MMR016",16,67
"MMR016D003","Tachileik","တာချီလိတ်","MMR016",16,68
"MMR016D004","Monghpyak","မိုင်းဖြတ်","MMR016",16,69
"MMR016D333","Mong Pawk (Wa SAD)","မိုင်းပေါက်","MMR016",16,70
"MMR017D001","Pathein","ပုသိမ်","MMR017",17,71
"MMR017D002","Hinthada","ဟင်္သာတ","MMR017",17,72
"MMR017D003","Myaungmya","မြောင်းမြ","MMR017",17,73
"MMR017D004","Labutta","လပွတ္တာ","MMR017",17,74
"MMR017D005","Maubin","မအူပင်","MMR017",17,75
"MMR017D006","Pyapon","ဖျာပုံ","MMR017",17,76
"MMR018D001","Naypyitaw (North)","နေပြည်တော် (မြောက်)","MMR018",18,77
"MMR018D002","Naypyitaw (South)","နေပြည်တော် (တောင်)","MMR018",18,78
